employeenumber,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework
10420,36,Yes,travel rarely,885.0,16,4,life sciences,3,Female,43,4,1, laboratory technician ,1,single,48620.0,8269,1,No,16,3.0,3,0,18.0,1,3.0,17,15,14,1987,Yes
10800,46,No,travel rarely,1003.0,8,4,life sciences,4,Female,74,2,2, research scientist ,1,divorced,46150.0,21029,8,Yes,23,4.0,1,3,10.0,2,3.0,16,1,7,1977,No
19950,38,No,travel rarely,1321.0,1,4,life sciences,4,Male,86,3,2, sales executive ,2,married,48620.0,7636,0,No,15,3.0,1,2,16.0,3,2.8,15,5,8,1985,Yes
1450,51,No,travel rarely,803.1,1,4,life sciences,1,Female,30,2,3, healthcare representative ,1,single,48620.0,25796,3,No,20,4.0,3,0,23.0,1,2.0,13,12,8,1972,Yes
1580,43,No,travel rarely,394.0,26,2,life sciences,3,Male,92,3,4, manager ,4,married,169590.0,19494,1,Yes,12,3.0,4,2,25.0,3,4.0,25,4,12,1980,Yes
3910,37,No,travel rarely,1372.0,1,3,life sciences,4,Female,42,3,1, research scientist ,4,single,48620.0,15881,1,No,12,3.0,2,0,10.0,3,3.0,17,5,7,1986,Yes
4360,32,No,travel rarely,803.1,8,2,technical degree,3,Female,65,2,2, sales executive ,2,married,48620.0,24624,1,Yes,11,3.0,4,0,10.0,2,3.0,13,11,9,1991,Yes
15270,46,No,travel rarely,228.0,3,3,life sciences,3,Female,51,3,4, manager ,2,married,48620.0,11380,8,No,12,3.0,4,1,23.0,2,4.0,13,5,1,1977,Yes
18660,43,No,travel rarely,823.0,6,3,medical,1,Female,81,2,5, manager ,3,married,48620.0,22539,7,No,13,3.0,4,0,21.0,2,3.0,16,6,14,1980,Yes
20260,56,No,non travel,667.0,1,4,life sciences,3,Male,57,3,2, healthcare representative ,3,divorced,48620.0,26236,1,No,21,3.2,1,1,10.0,2,2.0,13,1,9,1967,Yes
1070,38,No,travel rarely,573.0,6,3,medical,2,Female,79,1,2, research scientist ,4,married,48620.0,15717,7,No,12,3.0,4,3,17.0,3,3.0,13,1,9,1985,Yes
1700,49,No,travel rarely,803.1,26,4,medical,3,Female,96,3,2, manufacturing director ,1,married,48620.0,5549,1,No,14,3.0,3,0,16.0,2,2.0,15,5,11,1974,No
2150,40,No,travel rarely,630.0,4,4,life sciences,3,Male,67,2,3, sales executive ,4,married,108550.0,8552,7,No,11,3.2,1,1,15.0,2,2.0,12,2,11,1983,Yes
3040,36,No,travel rarely,803.1,5,2,life sciences,4,Male,62,3,2, laboratory technician ,2,single,59140.0,9945,8,No,16,3.0,4,0,16.0,3,4.0,13,3,7,1987,Yes
5290,37,No,travel rarely,1063.0,25,5,life sciences,2,Female,72,3,2, research scientist ,3,married,48620.0,23866,3,Yes,15,3.0,1,2,15.0,2,3.0,13,10,7,1986,No
6910,35,No,travel rarely,1017.0,6,4,life sciences,2,Male,82,1,2, research scientist ,4,married,66460.0,19368,1,No,13,3.0,2,0,10.0,3,3.0,17,11,8,1988,Yes
6920,33,No,travel frequently,1296.0,6,3,life sciences,3,Male,0,3,2, healthcare representative ,4,divorced,48620.0,5335,3,No,23,4.0,3,1,15.0,2,1.0,13,4,7,1990,No
10050,50,No,travel rarely,939.0,24,3,life sciences,4,Male,0,3,4, manufacturing director ,3,married,139730.0,4161,3,Yes,18,3.0,4,1,22.0,2,3.0,12,1,5,1973,No
10240,48,No,travel rarely,1355.0,4,4,life sciences,3,Male,78,2,3, healthcare representative ,3,single,48620.0,22245,7,No,14,3.2,2,0,27.0,3,3.0,15,4,8,1975,Yes
10390,44,No,travel rarely,1448.0,28,3,life sciences,4,Female,53,4,4, sales executive ,4,married,133200.0,11737,3,No,18,3.0,3,1,10.0,2,3.0,12,11,11,1979,Yes
12250,44,No,travel rarely,200.0,29,4,life sciences,4,Male,32,3,2, research scientist ,4,single,48620.0,7744,1,No,25,4.0,2,0,10.0,3,3.0,20,13,17,1979,Yes
13750,40,No,travel rarely,1202.0,25,1,life sciences,25,Female,89,4,2, healthcare representative ,3,married,48620.0,13888,5,No,20,4.0,2,3,15.0,0,3.0,12,11,8,1983,Yes
16610,49,No,travel rarely,465.0,6,1,life sciences,3,Female,41,2,4, healthcare representative ,3,married,48620.0,11652,2,No,19,3.0,2,1,10.0,3,3.0,15,2,12,1974,Yes
16680,38,No,travel frequently,1189.0,1,3,life sciences,4,Male,90,3,2, research scientist ,4,married,47350.0,9867,7,No,15,3.0,4,2,19.0,4,2.8,13,2,9,1985,Yes
16980,33,No,travel rarely,803.1,21,3,life sciences,2,Male,79,4,1, laboratory technician ,2,married,48620.0,13637,1,No,18,3.0,4,3,14.0,6,2.8,14,2,13,1990,Yes
19370,38,No,travel rarely,1394.0,8,3,life sciences,4,Female,58,2,2, research scientist ,2,divorced,48620.0,18115,1,No,16,3.0,3,1,20.0,3,3.0,20,0,7,1985,No
20170,37,No,travel rarely,161.0,10,3,life sciences,3,Female,42,4,3, research director ,4,married,48620.0,15471,1,Yes,25,4.0,1,1,16.0,2,3.0,16,6,8,1986,Yes
1170,30,No,travel rarely,288.0,2,3,life sciences,3,Male,99,2,2, healthcare representative ,4,married,48620.0,15830,1,No,19,3.2,1,3,11.0,3,3.0,11,10,8,1993,Yes
1310,58,No,travel rarely,682.0,18,4,life sciences,4,Male,37,3,4, sales executive ,3,single,138720.0,24409,0,No,13,3.0,3,0,38.0,1,2.0,37,1,8,1965,Yes
1530,34,No,travel rarely,1354.0,5,3,life sciences,3,Female,45,2,3, manager ,1,single,48620.0,5615,2,No,12,3.0,4,0,14.0,6,3.0,11,5,8,1989,No
3070,38,No,travel rarely,119.0,3,3,life sciences,1,Male,76,3,3, sales executive ,3,divorced,48620.0,9647,0,No,12,3.0,3,2,10.0,6,2.0,16,5,13,1985,Yes
3740,55,No,travel rarely,452.0,1,3,medical,4,Male,81,3,5, manager ,1,single,190450.0,18938,0,No,14,3.0,3,0,37.0,2,3.0,36,4,13,1968,Yes
5240,31,No,travel rarely,480.0,30,2,life sciences,2,Female,31,3,2, manufacturing director ,1,married,43060.0,4156,1,No,12,3.0,2,1,13.0,5,1.0,13,3,12,1992,Yes
5690,50,No,travel rarely,1099.0,27,4,life sciences,27,Male,88,2,4, manager ,3,married,170460.0,9314,0,No,15,3.0,2,1,28.0,2,3.0,27,15,7,1973,Yes
8990,35,No,travel rarely,672.0,25,3,technical degree,4,Male,78,2,3, manufacturing director ,2,married,48620.0,9129,3,No,16,3.2,1,0,10.0,2,3.0,13,4,8,1988,No
10140,35,No,travel rarely,583.0,25,4,life sciences,3,Female,57,3,3, healthcare representative ,3,divorced,48620.0,6975,1,Yes,11,3.2,3,1,10.0,3,2.0,16,10,1,1988,Yes
11170,45,No,travel rarely,1050.0,9,4,life sciences,2,Female,65,2,2, sales executive ,3,married,48620.0,17970,1,No,13,3.0,4,1,15.0,2,3.0,15,4,12,1978,No
12380,33,No,travel rarely,117.0,9,3,medical,1,Male,60,3,1, research scientist ,4,married,48620.0,6311,0,No,13,3.0,2,1,15.0,5,3.0,14,4,10,1990,No
12770,45,Yes,travel rarely,803.1,13,3,marketing,1,Female,94,1,5, manager ,2,married,48620.0,2493,2,Yes,16,3.0,1,0,26.0,2,3.0,24,1,11,1978,Yes
15410,34,No,travel rarely,1440.0,7,2,technical degree,2,Male,55,3,1, sales representative ,3,married,23080.0,4944,0,Yes,25,4.0,2,1,12.0,4,3.0,11,5,7,1989,No
16660,43,No,travel rarely,1291.0,15,2,life sciences,3,Male,65,2,4, research director ,3,married,48620.0,3525,1,No,24,4.0,1,1,10.0,3,3.0,14,6,11,1980,Yes
16960,34,No,travel rarely,1157.0,5,2,medical,2,Male,57,2,2, laboratory technician ,4,married,48620.0,11912,1,No,14,3.0,3,1,10.0,3,2.8,15,4,13,1989,No
18050,38,No,travel rarely,1336.0,2,3,life sciences,1,Male,100,3,1, human resources ,2,divorced,48620.0,7129,5,No,13,3.0,4,3,13.0,3,3.0,11,3,8,1985,Yes
19320,34,No,travel rarely,735.0,22,4,other,3,Male,86,2,2, research scientist ,4,married,57470.0,26496,1,Yes,15,3.0,2,0,16.0,3,3.0,15,6,11,1989,No
20160,32,No,travel rarely,803.1,31,4,life sciences,31,Female,48,3,3, sales executive ,4,married,104220.0,24032,1,No,19,3.0,3,2,14.0,3,3.0,14,5,7,1991,Yes
200,29,No,travel rarely,1389.0,21,4,life sciences,2,Female,51,4,3, manufacturing director ,1,divorced,48620.0,10195,1,No,11,3.0,3,1,10.0,1,3.0,10,8,8,1994,No
1840,30,No,travel rarely,1240.0,9,3,life sciences,3,Male,48,3,2, human resources ,4,married,63470.0,13982,0,Yes,19,3.0,4,0,10.0,2,1.0,11,4,7,1993,No
2060,45,No,travel rarely,194.0,9,3,life sciences,2,Male,60,3,2, laboratory technician ,2,married,23480.0,10901,8,No,18,3.0,3,1,20.0,2,2.8,17,0,15,1978,Yes
2280,30,No,travel rarely,1339.0,5,3,life sciences,2,Female,41,3,3, sales executive ,4,married,48620.0,8053,2,No,12,3.0,3,1,10.0,2,3.0,10,7,4,1993,Yes
2390,30,No,travel rarely,111.0,9,3,life sciences,3,Male,66,3,2, laboratory technician ,1,married,30720.0,11012,1,No,11,3.2,3,2,12.0,4,3.0,12,6,10,1993,Yes
2560,34,No,travel frequently,803.1,29,1,life sciences,4,Male,45,2,2, manufacturing director ,3,married,48620.0,14074,1,No,17,3.0,3,0,10.0,2,2.0,10,1,9,1989,No
3390,34,No,travel rarely,470.0,39,4,life sciences,39,Male,84,2,2, manufacturing director ,1,married,48620.0,23687,6,No,13,3.0,2,1,13.0,3,3.0,11,5,9,1989,Yes
4060,35,No,travel rarely,1232.0,16,3,life sciences,3,Male,96,3,3, sales executive ,2,married,80200.0,5100,0,No,15,3.0,3,2,12.0,3,2.0,11,6,9,1988,Yes
4290,39,No,travel rarely,117.0,10,1,life sciences,3,Male,99,3,4, manager ,1,married,170680.0,5355,1,No,14,3.2,4,0,21.0,3,3.0,21,11,10,1984,Yes
4440,39,No,travel rarely,672.0,7,2,life sciences,3,Male,54,2,5, manager ,4,married,192720.0,21141,1,No,15,3.0,1,1,10.0,2,3.0,21,13,3,1984,Yes
4520,45,No,travel rarely,549.0,8,4,life sciences,4,Male,75,3,2, research scientist ,4,married,48620.0,9278,9,No,14,3.0,1,2,12.0,3,3.0,10,9,8,1978,Yes
4560,30,No,travel rarely,570.0,5,3,marketing,4,Female,30,2,2, sales executive ,3,married,48620.0,5431,1,No,13,3.0,3,3,10.0,2,3.0,10,1,2,1993,Yes
4810,36,No,travel rarely,541.0,3,4,medical,1,Male,48,2,3, sales executive ,4,married,48620.0,7246,4,No,11,3.0,1,1,16.0,2,3.0,13,1,12,1987,Yes
5130,36,No,travel rarely,164.0,2,2,life sciences,2,Male,61,2,3, sales executive ,3,married,48620.0,3809,1,No,13,3.0,2,2,10.0,2,3.0,10,9,0,1987,Yes
5970,55,No,travel rarely,1117.0,18,5,life sciences,1,Female,83,3,4, manager ,2,single,48620.0,9873,3,No,23,4.0,4,0,37.0,2,3.0,10,7,7,1968,Yes
6000,35,No,travel rarely,619.0,1,3,life sciences,2,Male,85,3,2, sales executive ,3,married,48620.0,18659,9,No,11,3.0,3,0,15.0,2,3.0,11,6,9,1988,Yes
6300,52,No,travel rarely,956.0,6,2,life sciences,4,Male,78,3,2, research scientist ,1,divorced,55770.0,22087,3,Yes,12,3.2,2,2,18.0,3,3.0,10,6,9,1971,Yes
6380,49,No,travel rarely,1245.0,18,4,life sciences,4,Male,58,2,5, research director ,3,married,48620.0,2125,1,Yes,17,3.0,3,1,10.0,5,3.0,31,0,9,1974,Yes
6830,34,No,travel rarely,1397.0,1,5,life sciences,2,Male,42,3,1, research scientist ,4,married,26910.0,7660,1,No,12,3.0,4,1,10.0,4,2.0,10,8,8,1989,Yes
7800,33,Yes,travel rarely,527.0,1,4,other,4,Male,63,3,1, research scientist ,4,single,48620.0,5207,1,No,13,3.0,3,0,10.0,2,2.0,10,7,8,1990,No
8170,33,No,travel rarely,213.0,7,3,medical,3,Male,49,3,3, research director ,3,married,48620.0,25995,0,No,11,3.0,4,0,10.0,3,4.0,13,3,7,1990,Yes
9010,53,No,travel rarely,803.1,23,4,life sciences,4,Female,72,3,4, research director ,4,married,48620.0,20206,6,No,18,3.0,3,0,33.0,0,3.0,12,3,8,1970,Yes
9440,49,No,travel rarely,527.0,8,2,other,1,Female,51,3,3, laboratory technician ,2,married,74030.0,22477,4,No,11,3.0,3,1,29.0,3,2.0,26,1,7,1974,No
9840,35,No,travel rarely,882.0,21,4,life sciences,21,Male,0,3,3, sales executive ,4,married,48620.0,6812,6,No,13,3.0,2,1,10.0,2,3.0,10,0,8,1988,No
10880,38,No,travel rarely,330.0,17,1,life sciences,3,Female,65,2,3, healthcare representative ,3,married,88230.0,24608,0,No,18,3.0,1,1,20.0,4,2.0,19,1,9,1985,No
11240,46,No,travel rarely,406.0,3,1,marketing,1,Male,0,3,4, manager ,3,married,48620.0,15596,3,No,12,3.0,4,1,10.0,3,3.0,12,4,9,1977,No
11670,42,Yes,travel frequently,481.0,15,3,life sciences,15,Male,44,3,4, sales executive ,1,single,48620.0,2447,0,No,12,3.2,2,0,10.0,2,2.0,21,13,14,1981,Yes
11840,34,No,travel frequently,669.0,1,3,life sciences,4,Male,97,2,2, healthcare representative ,1,single,48620.0,25755,0,No,20,4.0,3,0,14.0,3,3.0,13,4,9,1989,Yes
12520,31,No,travel rarely,1062.0,24,3,medical,3,Female,96,2,2, healthcare representative ,1,single,48620.0,17198,1,No,19,3.2,2,0,10.0,2,3.0,10,1,8,1992,No
12670,44,No,travel rarely,1099.0,5,3,life sciences,2,Male,88,3,5, manager ,2,married,182130.0,8751,7,No,11,3.0,3,1,26.0,5,3.0,22,3,10,1979,Yes
12780,55,No,non travel,177.0,8,1,life sciences,4,Male,37,2,4, healthcare representative ,2,divorced,135770.0,25592,1,Yes,15,3.0,4,1,10.0,3,3.0,33,15,0,1968,No
12880,44,No,travel rarely,1199.0,4,2,life sciences,3,Male,92,4,5, manager ,1,divorced,191900.0,17477,1,No,14,3.0,4,2,10.0,4,2.0,25,14,13,1979,No
13070,39,No,travel rarely,412.0,13,4,life sciences,3,Female,94,2,4, manager ,2,divorced,171230.0,17334,6,Yes,13,3.0,4,2,10.0,4,3.0,19,15,2,1984,No
13360,55,No,travel rarely,282.0,2,2,medical,4,Female,58,1,5, manager ,3,married,191870.0,6992,4,No,14,3.2,4,1,23.0,5,3.0,19,9,11,1968,Yes
13520,51,No,travel rarely,770.0,5,3,life sciences,3,Male,84,3,4, manager ,2,married,48620.0,17588,1,No,11,3.0,2,1,10.0,2,3.0,33,0,10,1972,Yes
13600,58,Yes,travel rarely,601.0,14,4,medical,14,Female,53,2,3, manufacturing director ,1,married,100080.0,12023,7,No,14,3.0,4,0,10.0,0,2.0,10,5,9,1965,Yes
14190,29,No,travel rarely,332.0,17,3,life sciences,2,Male,51,2,3, human resources ,1,single,79880.0,9769,1,No,13,3.0,1,0,10.0,3,2.0,10,0,9,1994,No
14780,34,No,travel rarely,1326.0,3,3,other,4,Male,81,1,2, sales executive ,1,single,48620.0,15891,3,No,18,3.2,4,0,15.0,2,3.0,13,3,12,1989,Yes
14800,42,No,travel frequently,748.0,9,2,life sciences,1,Female,74,3,1, laboratory technician ,4,married,48620.0,16458,1,No,13,3.0,3,0,12.0,3,3.0,12,5,8,1981,Yes
14890,34,Yes,travel rarely,790.0,24,4,life sciences,1,Female,40,2,2, sales executive ,2,single,48620.0,7815,0,Yes,23,4.0,3,0,16.0,2,4.0,15,10,10,1989,No
15200,54,No,travel frequently,1050.0,11,4,medical,2,Female,87,3,4, manager ,4,married,48620.0,24456,3,No,20,3.2,1,1,26.0,2,3.0,14,1,12,1969,Yes
15350,34,No,travel rarely,971.0,1,3,life sciences,4,Male,64,2,3, sales executive ,3,married,70830.0,12288,1,No,14,3.0,4,0,10.0,3,3.0,10,8,6,1989,No
15860,29,No,travel rarely,1370.0,3,1,medical,2,Male,87,3,1, laboratory technician ,1,single,47230.0,16213,1,No,18,3.0,4,0,10.0,3,2.8,10,1,5,1994,Yes
15960,35,No,travel rarely,750.0,28,3,life sciences,2,Male,46,4,2, laboratory technician ,3,married,34070.0,25348,1,No,17,3.2,4,2,10.0,3,2.0,10,6,8,1988,Yes
16670,35,Yes,travel rarely,880.0,12,4,other,4,Male,36,3,2, sales executive ,4,married,48620.0,10414,3,No,24,4.0,1,0,13.0,2,4.0,11,6,7,1988,Yes
17010,34,No,travel rarely,678.0,19,3,life sciences,2,Female,35,2,1, research scientist ,4,married,29290.0,20338,1,No,12,3.0,2,0,10.0,3,3.0,10,8,7,1989,Yes
17060,43,No,travel rarely,1179.0,2,3,life sciences,4,Male,73,3,2, sales executive ,4,married,48620.0,6069,1,Yes,17,3.0,1,1,10.0,3,3.0,10,8,8,1980,No
19710,43,No,travel rarely,574.0,11,3,life sciences,1,Male,30,3,3, healthcare representative ,3,married,48620.0,16873,1,No,17,3.0,2,1,10.0,1,3.0,10,0,9,1980,Yes
19760,42,No,travel rarely,803.1,23,2,life sciences,4,Male,37,2,2, research scientist ,3,single,48620.0,14811,1,No,12,3.0,4,0,20.0,2,3.0,20,3,7,1981,Yes
19850,40,No,travel rarely,692.0,11,3,technical degree,4,Female,73,3,2, laboratory technician ,3,married,48620.0,26849,1,No,11,3.2,1,1,10.0,2,4.0,10,9,4,1983,Yes
20320,56,Yes,travel rarely,310.0,7,2,technical degree,4,Male,72,3,1, laboratory technician ,3,married,48620.0,3666,8,No,11,3.0,4,1,14.0,4,1.0,10,9,8,1967,Yes
20560,39,No,travel rarely,722.0,33,1,marketing,33,Female,60,2,4, sales executive ,4,married,120310.0,8828,0,No,11,3.0,1,1,10.0,2,2.0,20,9,6,1984,Yes
570,30,No,travel frequently,721.0,1,2,life sciences,3,Female,58,3,2, laboratory technician ,4,married,48620.0,10781,1,No,23,4.0,4,0,12.0,2,2.8,12,3,7,1993,Yes
780,32,No,travel rarely,427.0,1,3,medical,1,Male,0,3,2, manufacturing director ,4,married,61620.0,10877,1,Yes,22,4.0,2,1,9.0,3,3.0,9,7,8,1991,Yes
1040,30,No,travel rarely,852.0,1,1,life sciences,4,Male,55,2,2, laboratory technician ,4,married,51260.0,15998,1,No,12,3.0,3,2,10.0,1,2.8,10,3,0,1993,No
1180,46,Yes,travel rarely,669.0,9,2,medical,3,Male,64,2,3, sales executive ,4,married,96190.0,13596,1,No,16,3.0,4,0,9.0,3,3.0,9,4,7,1977,No
1210,30,No,travel rarely,1334.0,4,2,life sciences,3,Female,63,2,2, sales executive ,2,married,48620.0,19760,1,Yes,12,3.0,2,3,11.0,4,2.0,11,2,7,1993,No
1250,32,No,travel rarely,1093.0,6,4,life sciences,2,Male,87,3,2, sales executive ,3,single,50100.0,24301,1,No,16,3.0,1,0,12.0,0,3.0,11,5,7,1991,Yes
2070,32,No,travel rarely,967.0,8,3,marketing,2,Female,43,3,3, sales executive ,4,single,48620.0,15589,1,No,14,3.0,4,0,9.0,2,3.0,9,3,7,1991,Yes
2270,41,No,travel rarely,465.0,34,3,life sciences,1,Male,56,3,1, research scientist ,3,divorced,48620.0,4609,4,No,12,3.0,1,1,10.0,2,3.0,9,1,8,1982,Yes
2530,40,No,travel rarely,989.0,4,1,medical,4,Female,46,3,5, manager ,3,married,190330.0,6499,1,No,14,3.0,2,1,21.0,2,3.0,20,9,9,1983,No
2640,45,No,travel rarely,1195.0,2,2,life sciences,1,Male,65,2,4, manager ,4,married,48620.0,20462,9,No,23,4.0,4,1,22.0,1,3.0,20,11,8,1978,Yes
2910,32,Yes,travel rarely,1045.0,4,4,life sciences,4,Male,32,1,3, sales executive ,4,married,104000.0,25812,1,No,11,3.0,3,0,14.0,2,2.0,14,9,8,1991,No
2920,30,No,non travel,829.0,1,1,life sciences,3,Male,88,2,3, manufacturing director ,3,married,48620.0,20925,1,No,22,4.0,3,0,10.0,2,3.0,11,5,8,1993,Yes
3060,37,No,travel rarely,663.0,11,3,life sciences,2,Male,47,3,3, research director ,4,married,48620.0,10056,1,No,14,3.0,3,3,10.0,1,3.0,10,0,7,1986,Yes
3350,40,No,travel rarely,1300.0,24,2,technical degree,1,Male,62,3,2, research scientist ,4,married,48620.0,24447,1,No,17,3.0,1,2,10.0,3,3.0,9,4,7,1983,No
4200,32,No,travel rarely,906.0,7,3,life sciences,4,Male,91,2,2, sales executive ,3,married,48620.0,16985,1,No,14,3.0,3,1,13.0,3,2.0,13,4,8,1991,Yes
4210,38,No,travel rarely,849.0,25,2,life sciences,1,Female,81,2,3, research director ,2,married,48620.0,26707,3,No,17,3.0,3,1,10.0,2,3.0,10,0,1,1985,Yes
4410,30,No,travel rarely,1275.0,28,2,life sciences,4,Female,64,3,2, research scientist ,4,married,48620.0,11934,1,No,13,3.0,4,2,11.0,2,3.0,10,1,9,1993,Yes
5310,39,No,travel rarely,1218.0,1,1,life sciences,2,Male,52,3,5, manager ,3,married,191970.0,8213,1,No,14,3.0,3,1,21.0,3,3.0,21,1,6,1984,Yes
5490,60,No,travel rarely,422.0,7,3,life sciences,1,Female,41,3,5, manager ,1,married,48620.0,3854,5,No,11,3.0,4,0,33.0,5,1.0,29,11,10,1963,Yes
5670,30,No,travel rarely,1398.0,22,4,other,3,Female,69,3,3, sales executive ,1,married,84120.0,2890,0,No,11,3.0,3,0,10.0,3,3.0,9,7,8,1993,Yes
5810,31,No,travel rarely,1274.0,9,1,life sciences,3,Male,0,3,3, manufacturing director ,2,divorced,48620.0,14394,1,No,25,4.0,4,1,10.0,6,4.0,13,0,8,1992,Yes
7020,33,Yes,travel rarely,1076.0,3,3,life sciences,1,Male,70,3,1, research scientist ,1,single,33480.0,3164,1,Yes,11,3.0,1,0,10.0,3,3.0,10,9,7,1990,No
7160,50,No,travel rarely,1207.0,28,1,medical,4,Male,74,4,1, laboratory technician ,3,married,48620.0,3297,1,Yes,11,3.2,3,3,20.0,3,3.0,20,3,8,1973,Yes
