unnamed: 0,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,sameasmonthlyincome,datebirth,roledepartament,remotework
14,55,No,,692.0,,14,4,medical,,3,Male,61,4,5, research director ,2,Single,,13339,8,No,11,"3,0",4,0,,3,"3,0",24,,2,15,,1968,,True
15,40,No,travel rarely,1398.0,,2,4,,"558,0",3,Female,79,3,5, manager ,3,,"18041,0",13022,0,No,14,"3,0",4,0,,2,"3,0",20,,1,12,"18041,0",1983,,0
16,58,Yes,travel rarely,286.0,,2,4,,"825,0",4,Male,31,3,5, research director ,2,Single,"19246,0",25761,7,Yes,12,"3,0",4,0,"40,0",2,"3,0",31,,13,8,"19246,0",1965,,0
17,46,No,travel rarely,1402.0,,2,3,,,3,Female,69,3,4, manager ,1,,,24097,8,,23,"4,0",1,0,"28,0",2,"3,0",26,,15,9,,1977,,False
18,35,No,,819.0,,13,5,life sciences,,2,Male,48,4,2, research scientist ,1,Married,,26312,1,,11,"3,0",4,0,,2,"3,0",16,,1,10,,1988,,False
19,40,No,travel rarely,884.0,,15,3,life sciences,,1,Female,80,2,3, manufacturing director ,3,,,25800,1,,13,"3,0",4,2,"18,0",2,,18,,14,12,,1983,,True
20,45,No,non travel,1238.0, research & development ,1,1,,"1712,0",3,Male,74,2,3, healthcare representative ,3,,"10748,0",3395,3,,23,"4,0",4,1,"25,0",3,"2,0",23,,14,4,"10748,0",1978, healthcare representative  -  research & development ,False
21,33,No,,515.0,,1,2,life sciences,"73,0",1,Female,98,3,3, research director ,4,Single,,15146,1,Yes,12,"3,0",3,0,"15,0",1,"3,0",15,,8,12,,1990,,True
22,36,No,,1223.0,,8,3,,,3,Female,59,3,3, healthcare representative ,3,Divorced,,8202,1,,13,,2,3,"17,0",2,"3,0",17,,12,8,,1987,,1
23,47,No,,202.0,,2,2,other,"820,0",3,Female,33,3,4, manager ,4,Married,"16752,0",12982,1,,11,"3,0",3,1,,3,"2,0",26,,3,0,"16752,0",1976,,False
24,36,No,travel rarely,928.0,,42,2,life sciences,,42,Male,56,3,2, sales executive ,4,,"6201,0",2823,1,,14,"3,0",4,1,"18,0",1,,18,,4,11,"6201,0",1987,,True
25,35,No,,607.0,,9,3,life sciences,,4,Female,66,2,3, manufacturing director ,3,Married,,23457,1,Yes,20,"4,0",2,1,"17,0",2,"3,0",17,,5,15,,1988,,False
26,52,Yes,,266.0,,2,1,,,1,Female,57,1,5, manager ,4,Married,"19845,0",25846,1,No,15,"3,0",4,1,"33,0",3,"3,0",32,,6,9,"19845,0",1971,,1
27,36,No,,429.0,,2,4,life sciences,"1294,0",3,Female,53,3,2, manufacturing director ,2,Single,,2323,9,Yes,11,"3,0",4,0,"18,0",2,"3,0",16,,5,12,,1987,,0
28,33,No,travel rarely,589.0,,28,4,life sciences,,2,Male,79,3,2, laboratory technician ,3,Married,,22949,1,,12,"3,0",2,1,"15,0",3,"3,0",15,,5,7,,1990,,Yes
29,34,No,non travel,, sales ,10,3,life sciences,"1774,0",4,Male,87,3,2, sales executive ,3,,"4001,0",12313,1,Yes,14,"3,0",3,1,"15,0",3,"3,0",15,,0,7,"4001,0",1989, sales executive  -  sales ,1
30,41,No,,, sales ,37,1,,"1815,0",37,Female,81,3,3, sales executive ,3,Divorced,"10447,0",26458,0,,13,"3,0",4,1,,3,"4,0",22,,13,5,"10447,0",1982, sales executive  -  sales ,Yes
31,47,No,,1180.0, research & development ,25,3,medical,"1993,0",1,Male,84,3,3, healthcare representative ,3,,,13084,2,,23,"4,0",2,0,"25,0",3,"3,0",17,,12,11,,1976, healthcare representative  -  research & development ,Yes
32,53,No,travel rarely,1282.0,,5,3,,"32,0",3,Female,58,3,5, manager ,3,,,10735,4,,11,"3,0",4,1,"26,0",3,"2,0",14,,4,8,,1970,,Yes
33,35,No,,776.0,,1,4,marketing,"100,0",3,Male,32,2,2, sales executive ,1,Single,,23016,0,No,14,,2,0,"16,0",2,"3,0",15,,2,8,,1988,,0
34,34,No,travel rarely,665.0,,6,4,other,,1,Female,41,3,2, research scientist ,3,Single,,12482,1,,14,"3,0",3,0,"16,0",3,"3,0",16,,2,10,,1989,,True
35,46,No,travel rarely,526.0,,1,2,,"244,0",2,Female,92,3,3, sales executive ,1,Divorced,,2137,1,No,25,"4,0",3,3,"24,0",2,"3,0",24,,15,7,,1977,,Yes
36,43,No,,1034.0,,16,3,,"327,0",4,Female,80,3,4, manager ,4,Married,"16064,0",7744,5,,22,"4,0",3,1,"22,0",3,"3,0",17,,1,9,"16064,0",1980,,1
37,36,No,,1403.0, research & development ,6,3,life sciences,"373,0",4,Male,47,3,1, laboratory technician ,4,Married,"3210,0",20251,0,,11,"3,0",3,1,"16,0",4,"3,0",15,,10,11,"3210,0",1987, laboratory technician  -  research & development ,True
38,60,No,travel frequently,1499.0,,28,3,,,3,Female,80,2,3, sales executive ,1,Married,"10266,0",2845,4,No,19,"3,0",4,0,"22,0",5,"4,0",18,"13,0",13,11,"10266,0",1963,,1
39,40,No,travel frequently,580.0,,5,4,,"729,0",4,Male,48,2,3, sales executive ,1,Married,"10475,0",23772,5,Yes,21,"4,0",3,1,"20,0",2,"3,0",18,,1,12,"10475,0",1983,,0
40,32,No,travel rarely,859.0,,4,3,,"830,0",3,Female,98,2,2, manufacturing director ,3,Married,"6162,0",19124,1,No,12,"3,0",3,1,"14,0",3,"3,0",14,,6,8,"6162,0",1991,,0
41,41,No,travel rarely,263.0,,35,3,,,35,Male,59,3,1, laboratory technician ,1,Single,"4721,0",3119,2,Yes,13,,3,0,"20,0",3,"3,0",18,,2,17,"4721,0",1982,,1
42,53,No,,1376.0,,2,2,medical,"981,0",3,Male,Not Available,3,4, manager ,3,Divorced,,13938,6,No,13,"3,0",3,1,"22,0",3,"4,0",17,,15,2,,1970,,False
43,36,Yes,travel rarely,885.0,,16,4,,"1042,0",3,Female,43,4,1, laboratory technician ,1,Single,,8269,1,,16,"3,0",3,0,"18,0",1,"3,0",17,,15,14,,1987,,Yes
44,46,No,,1003.0,,8,4,life sciences,"1080,0",4,Female,74,2,2, research scientist ,1,Divorced,"4615,0",21029,8,Yes,23,"4,0",1,3,,2,"3,0",16,,1,7,"4615,0",1977,,0
45,38,No,travel rarely,1321.0,,1,4,,"1995,0",4,Male,86,3,2, sales executive ,2,Married,,7636,0,No,15,"3,0",1,2,"16,0",3,,15,,5,8,,1985,,1
46,51,No,,,,1,4,,"145,0",1,Female,30,2,3, healthcare representative ,1,Single,,25796,3,,20,"4,0",3,0,"23,0",1,"2,0",13,,12,8,,1972,,True
47,43,No,,394.0,,26,2,,"158,0",3,Male,92,3,4, manager ,4,Married,"16959,0",19494,1,Yes,12,"3,0",4,2,"25,0",3,"4,0",25,,4,12,"16959,0",1980,,1
48,37,No,,1372.0,,1,3,life sciences,"391,0",4,Female,42,3,1, research scientist ,4,Single,,15881,1,No,12,"3,0",2,0,,3,"3,0",17,,5,7,,1986,,Yes
49,32,No,travel rarely,,,8,2,technical degree,"436,0",3,Female,65,2,2, sales executive ,2,Married,,24624,1,Yes,11,"3,0",4,0,,2,"3,0",13,"12,0",11,9,,1991,,True
50,38,No,,1333.0,,1,3,,,4,Female,80,3,3, research director ,1,Married,,16292,1,,13,"3,0",2,1,"15,0",3,"3,0",15,,5,11,,1985,,False
51,46,No,,228.0,,3,3,life sciences,"1527,0",3,Female,51,3,4, manager ,2,,,11380,8,No,12,"3,0",4,1,"23,0",2,"4,0",13,,5,1,,1977,,Yes
52,35,Yes,travel rarely,737.0,,10,3,medical,,4,Male,55,2,3, sales executive ,1,Married,"10306,0",21530,9,,17,"3,0",3,0,"15,0",3,,13,,6,0,"10306,0",1988,,0
53,43,No,,823.0,,6,3,medical,"1866,0",1,Female,81,2,5, manager ,3,Married,,22539,7,No,13,"3,0",4,0,"21,0",2,"3,0",16,,6,14,,1980,,Yes
54,56,No,non travel,667.0,,1,4,life sciences,"2026,0",3,Male,57,3,2, healthcare representative ,3,Divorced,,26236,1,No,21,,1,1,,2,"2,0",13,,1,9,,1967,,Yes
55,36,No,non travel,301.0,,15,4,marketing,,4,Male,88,1,2, sales executive ,4,divorced,"5406,0",10436,1,No,24,"4,0",1,1,,4,"2,0",15,,11,11,"5406,0",1987,,1
56,38,No,,573.0,,6,3,medical,"107,0",2,Female,79,1,2, research scientist ,4,,,15717,7,,12,"3,0",4,3,"17,0",3,"3,0",13,,1,9,,1985,,Yes
57,49,No,,,,26,4,medical,"170,0",3,Female,96,3,2, manufacturing director ,1,,,5549,1,No,14,"3,0",3,0,"16,0",2,"2,0",15,,5,11,,1974,,0
58,39,No,travel rarely,1329.0,,4,4,life sciences,,4,Female,47,2,2, sales executive ,3,Married,"5902,0",14590,4,,14,"3,0",3,1,"17,0",1,"4,0",15,,5,9,"5902,0",1984,,Yes
59,40,No,,630.0,,4,4,,"215,0",3,Male,67,2,3, sales executive ,4,Married,"10855,0",8552,7,No,11,,1,1,"15,0",2,"2,0",12,,2,11,"10855,0",1983,,Yes
60,36,No,,,,5,2,,"304,0",4,Male,62,3,2, laboratory technician ,2,Single,"5914,0",9945,8,No,16,"3,0",4,0,"16,0",3,"4,0",13,,3,7,"5914,0",1987,,1
61,37,No,,1063.0,,25,5,,"529,0",2,Female,72,3,2, research scientist ,3,Married,,23866,3,Yes,15,"3,0",1,2,"15,0",2,"3,0",13,,10,7,,1986,,0
62,35,No,,1017.0,,6,4,,"691,0",2,Male,82,1,2, research scientist ,4,,"6646,0",19368,1,,13,"3,0",2,0,,3,"3,0",17,,11,8,"6646,0",1988,,Yes
63,33,No,travel frequently,1296.0,,6,3,life sciences,"692,0",3,Male,Not Available,3,2, healthcare representative ,4,Divorced,,5335,3,No,23,"4,0",3,1,"15,0",2,"1,0",13,,4,7,,1990,,False
64,50,No,travel rarely,939.0, research & development ,24,3,,"1005,0",4,Male,Not Available,3,4, manufacturing director ,3,Married,"13973,0",4161,3,Yes,18,"3,0",4,1,"22,0",2,"3,0",12,,1,5,"13973,0",1973, manufacturing director  -  research & development ,False
65,48,No,travel rarely,1355.0,,4,4,,"1024,0",3,Male,78,2,3, healthcare representative ,3,Single,,22245,7,,14,,2,0,"27,0",3,"3,0",15,"11,0",4,8,,1975,,Yes
66,44,No,travel rarely,1448.0, sales ,28,3,,"1039,0",4,Female,53,4,4, sales executive ,4,Married,"13320,0",11737,3,,18,"3,0",3,1,,2,"3,0",12,,11,11,"13320,0",1979, sales executive  -  sales ,1
67,44,No,travel rarely,200.0,,29,4,,"1225,0",4,Male,32,3,2, research scientist ,4,Single,,7744,1,,25,"4,0",2,0,,3,"3,0",20,,13,17,,1979,,Yes
68,40,No,,1202.0,,25,1,,"1375,0",25,Female,89,4,2, healthcare representative ,3,,,13888,5,No,20,"4,0",2,3,"15,0",0,"3,0",12,,11,8,,1983,,True
69,34,No,travel rarely,404.0,,2,4,,,3,Female,98,3,2, healthcare representative ,4,Single,"6687,0",6163,1,,11,"3,0",4,0,"14,0",2,"4,0",14,,4,11,"6687,0",1989,,True
70,35,No,non travel,208.0, research & development ,8,4,,,3,Female,52,3,2, healthcare representative ,3,,,12250,1,,12,"3,0",4,1,,5,"3,0",14,,2,9,,1988, healthcare representative  -  research & development ,True
71,50,No,,813.0,,17,5,life sciences,,4,Female,50,2,3, research director ,1,,,21981,5,No,15,"3,0",3,3,,3,"3,0",14,"11,0",1,11,,1973,,0
72,49,No,,465.0,,6,1,life sciences,"1661,0",3,Female,41,2,4, healthcare representative ,3,,,11652,2,,19,"3,0",2,1,,3,"3,0",15,,2,12,,1974,,Yes
73,38,No,travel frequently,1189.0,,1,3,life sciences,"1668,0",4,Male,90,3,2, research scientist ,4,,"4735,0",9867,7,No,15,"3,0",4,2,"19,0",4,,13,,2,9,"4735,0",1985,,True
74,33,No,,,,21,3,,"1698,0",2,Male,79,4,1, laboratory technician ,2,,,13637,1,No,18,"3,0",4,3,"14,0",6,,14,,2,13,,1990,,True
75,47,No,travel rarely,1001.0,,4,3,life sciences,,3,Female,92,2,3, manufacturing director ,2,Divorced,,19271,8,Yes,12,,3,1,,4,"3,0",22,,14,10,,1976,,Yes
76,38,No,,1394.0, research & development ,8,3,,"1937,0",4,Female,58,2,2, research scientist ,2,Divorced,,18115,1,,16,"3,0",3,1,"20,0",3,"3,0",20,,0,7,,1985, research scientist  -  research & development ,0
77,37,No,travel rarely,161.0,,10,3,life sciences,"2017,0",3,Female,42,4,3, research director ,4,,,15471,1,Yes,25,"4,0",1,1,"16,0",2,"3,0",16,,6,8,,1986,,Yes
78,30,No,,288.0,,2,3,,"117,0",3,Male,99,2,2, healthcare representative ,4,Married,,15830,1,No,19,,1,3,"11,0",3,"3,0",11,,10,8,,1993,,Yes
79,58,No,travel rarely,682.0,,18,4,,"131,0",4,Male,37,3,4, sales executive ,3,Single,"13872,0",24409,0,,13,"3,0",3,0,"38,0",1,"2,0",37,,1,8,"13872,0",1965,,1
80,34,No,travel rarely,1354.0,,5,3,,"153,0",3,Female,45,2,3, manager ,1,Single,,5615,2,,12,"3,0",4,0,"14,0",6,"3,0",11,,5,8,,1989,,0
81,58,Yes,travel rarely,147.0,,23,4,medical,,4,Female,94,3,3, healthcare representative ,4,Married,,3465,1,,12,"3,0",4,1,"40,0",3,"2,0",40,,15,6,,1965,,Yes
82,38,No,,119.0,,3,3,life sciences,"307,0",1,Male,76,3,3, sales executive ,3,Divorced,,9647,0,,12,"3,0",3,2,,6,"2,0",16,,5,13,,1985,,1
83,29,No,travel frequently,1413.0,,1,1,,,2,Female,42,3,3, sales executive ,4,Married,,6599,1,,14,"3,0",4,1,"11,0",5,"3,0",11,,4,1,,1994,,True
84,55,No,travel rarely,452.0,,1,3,medical,"374,0",4,Male,81,3,5, manager ,1,Single,"19045,0",18938,0,,14,"3,0",3,0,"37,0",2,"3,0",36,,4,13,"19045,0",1968,,1
85,41,No,,334.0,,10,4,,,4,Male,88,3,4, manager ,2,,"16015,0",15896,1,,19,"3,0",2,0,,2,"3,0",22,,0,4,"16015,0",1982,,Yes
86,39,No,travel rarely,1132.0, research & development ,1,3,,,3,Male,48,4,3, healthcare representative ,4,,"9613,0",10942,0,No,17,,1,3,"19,0",5,"2,0",18,,3,7,"9613,0",1984, healthcare representative  -  research & development ,0
87,38,No,,,,15,2,life sciences,,3,Male,92,2,3, research director ,4,,"11510,0",15682,0,,14,"3,0",2,1,,3,"3,0",11,,2,9,"11510,0",1985,,1
88,43,No,,982.0,,12,3,,,1,Male,59,2,4, research director ,2,,,4345,1,No,11,"3,0",3,1,,3,,25,,3,9,,1980,,True
89,31,No,,480.0,,30,2,,"524,0",2,Female,31,3,2, manufacturing director ,1,Married,"4306,0",4156,1,No,12,"3,0",2,1,"13,0",5,"1,0",13,,3,12,"4306,0",1992,,Yes
90,50,No,travel rarely,1099.0, research & development ,27,4,life sciences,"569,0",27,Male,88,2,4, manager ,3,Marreid,"17046,0",9314,0,No,15,"3,0",2,1,"28,0",2,"3,0",27,,15,7,"17046,0",1973, manager  -  research & development ,True
91,35,No,,672.0,,25,3,technical degree,"899,0",4,Male,78,2,3, manufacturing director ,2,Married,,9129,3,No,16,,1,0,,2,"3,0",13,,4,8,,1988,,0
92,47,No,,1379.0,,16,4,,,3,Male,64,4,2, manufacturing director ,3,,"5067,0",6759,1,Yes,19,"3,0",3,0,"20,0",3,,19,,2,7,"5067,0",1976,,Yes
93,35,No,,583.0, research & development ,25,4,,"1014,0",3,Female,57,3,3, healthcare representative ,3,Divorced,,6975,1,Yes,11,,3,1,,3,"2,0",16,,10,1,,1988, healthcare representative  -  research & development ,1
94,40,No,travel rarely,1492.0,,20,4,,,1,Male,61,3,3, healthcare representative ,4,Married,,26542,4,,20,"4,0",4,1,"14,0",6,"3,0",11,,11,1,,1983,,1
95,45,No,,1050.0, sales ,9,4,life sciences,"1117,0",2,Female,65,2,2, sales executive ,3,Married,,17970,1,,13,"3,0",4,1,"15,0",2,"3,0",15,,4,12,,1978, sales executive  -  sales ,0
96,33,No,,117.0, research & development ,9,3,medical,"1238,0",1,Male,60,3,1, research scientist ,4,Married,,6311,0,,13,"3,0",2,1,"15,0",5,"3,0",14,,4,10,,1990, research scientist  -  research & development ,False
97,36,No,travel frequently,469.0,,3,3,,,3,Male,46,3,1, research scientist ,2,Married,"3692,0",9256,1,No,12,"3,0",3,0,"12,0",2,"2,0",11,,0,7,"3692,0",1987,,False
98,45,Yes,,,,13,3,marketing,"1277,0",1,Female,94,1,5, manager ,2,,,2493,2,Yes,16,"3,0",1,0,"26,0",2,"3,0",24,,1,11,,1978,,True
99,51,No,travel frequently,237.0,,27,3,,,27,Male,83,3,5, manager ,2,,"19847,0",19196,4,Yes,24,,1,1,,5,"2,0",29,,11,10,"19847,0",1972,,0
100,34,No,travel rarely,1440.0,,7,2,technical degree,"1541,0",2,Male,55,3,1, sales representative ,3,,"2308,0",4944,0,Yes,25,"4,0",2,1,"12,0",4,"3,0",11,,5,7,"2308,0",1989,,0
101,43,No,travel rarely,1291.0, research & development ,15,2,,"1666,0",3,Male,65,2,4, research director ,3,,,3525,1,No,24,"4,0",1,1,,3,"3,0",14,,6,11,,1980, research director  -  research & development ,1
102,34,No,,1157.0,,5,2,medical,"1696,0",2,Male,57,2,2, laboratory technician ,4,,,11912,1,No,14,"3,0",3,1,,3,,15,,4,13,,1989,,0
103,38,No,,1336.0,,2,3,,"1805,0",1,Male,100,3,1, human resources ,2,Divorced,,7129,5,No,13,"3,0",4,3,"13,0",3,"3,0",11,,3,8,,1985,,1
104,48,No,,1224.0,,10,3,,,4,Male,91,2,5, research director ,2,,,13583,4,No,12,"3,0",4,0,"29,0",3,"3,0",22,,12,9,,1975,,0
105,34,No,,735.0, research & development ,22,4,other,"1932,0",3,Male,86,2,2, research scientist ,4,Married,"5747,0",26496,1,Yes,15,"3,0",2,0,"16,0",3,"3,0",15,,6,11,"5747,0",1989, research scientist  -  research & development ,False
106,32,No,travel rarely,,,31,4,,"2016,0",31,Female,48,3,3, sales executive ,4,,"10422,0",24032,1,No,19,"3,0",3,2,"14,0",3,"3,0",14,,5,7,"10422,0",1991,,Yes
107,29,No,travel rarely,1389.0,,21,4,life sciences,"20,0",2,Female,51,4,3, manufacturing director ,1,Divorced,,10195,1,No,11,"3,0",3,1,"10,0",1,"3,0",10,,8,8,,1994,,0
108,46,No,,638.0,,1,3,medical,,3,Male,40,2,3, healthcare representative ,1,Married,,3142,2,Yes,13,"3,0",3,1,"21,0",5,"2,0",10,,9,5,,1977,,False
109,30,No,,1240.0, human resources ,9,3,,"184,0",3,Male,48,3,2, human resources ,4,Married,"6347,0",13982,0,Yes,19,"3,0",4,0,,2,"1,0",11,,4,7,"6347,0",1993, human resources  -  human resources ,0
110,45,No,,194.0,,9,3,life sciences,"206,0",2,Male,60,3,2, laboratory technician ,2,,"2348,0",10901,8,No,18,"3,0",3,1,"20,0",2,,17,,0,15,"2348,0",1978,,Yes
111,30,No,travel rarely,1339.0,,5,3,,"228,0",2,Female,41,3,3, sales executive ,4,,,8053,2,No,12,"3,0",3,1,,2,"3,0",10,,7,4,,1993,,True
112,30,No,,111.0,,9,3,,"239,0",3,Male,66,3,2, laboratory technician ,1,,"3072,0",11012,1,No,11,,3,2,"12,0",4,"3,0",12,,6,10,"3072,0",1993,,Yes
113,34,No,travel frequently,,,29,1,,"256,0",4,Male,45,2,2, manufacturing director ,3,Married,,14074,1,,17,"3,0",3,0,"10,0",2,"2,0",10,,1,9,,1989,,False
114,51,No,travel rarely,1469.0,,8,4,life sciences,,2,Male,81,2,3, research director ,2,Married,"12490,0",15736,5,No,16,"3,0",4,2,"16,0",5,"1,0",10,,4,7,"12490,0",1972,,0
115,34,No,,470.0,,39,4,life sciences,"339,0",39,Male,84,2,2, manufacturing director ,1,,,23687,6,,13,"3,0",2,1,"13,0",3,"3,0",11,,5,9,,1989,,1
116,35,No,travel rarely,1232.0,,16,3,,"406,0",3,Male,96,3,3, sales executive ,2,Married,"8020,0",5100,0,,15,"3,0",3,2,"12,0",3,"2,0",11,,6,9,"8020,0",1988,,1
117,45,No,travel frequently,1249.0,,7,3,life sciences,,1,Male,97,3,3, laboratory technician ,1,,,20308,1,,18,"3,0",1,1,"24,0",2,"3,0",24,,9,11,,1978,,Yes
118,39,No,,117.0,,10,1,,"429,0",3,Male,99,3,4, manager ,1,Married,"17068,0",5355,1,,14,,4,0,"21,0",3,"3,0",21,,11,10,"17068,0",1984,,Yes
119,31,No,,798.0,,7,2,,,3,Female,48,2,3, manufacturing director ,3,Married,"8943,0",14034,1,No,24,"4,0",1,1,"10,0",2,"3,0",10,,8,9,"8943,0",1992,,False
120,39,No,,672.0, research & development ,7,2,,"444,0",3,Male,54,2,5, manager ,4,Married,"19272,0",21141,1,,15,"3,0",1,1,,2,"3,0",21,,13,3,"19272,0",1984, manager  -  research & development ,True
121,45,No,travel rarely,549.0,,8,4,,"452,0",4,Male,75,3,2, research scientist ,4,,,9278,9,No,14,"3,0",1,2,"12,0",3,"3,0",10,,9,8,,1978,,True
122,30,No,travel rarely,570.0, sales ,5,3,marketing,"456,0",4,Female,30,2,2, sales executive ,3,,,5431,1,,13,"3,0",3,3,"10,0",2,"3,0",10,,1,2,,1993, sales executive  -  sales ,Yes
123,31,No,,1232.0,,7,4,medical,,3,Female,39,3,3, manufacturing director ,4,,,25713,1,,14,"3,0",3,0,"11,0",2,"2,0",11,,4,10,,1992,,False
124,36,No,,541.0,,3,4,medical,"481,0",1,Male,48,2,3, sales executive ,4,Married,,7246,4,No,11,"3,0",1,1,"16,0",2,"3,0",13,,1,12,,1987,,True
125,36,No,travel rarely,164.0,,2,2,,"513,0",2,Male,61,2,3, sales executive ,3,Married,,3809,1,,13,"3,0",2,2,"10,0",2,"3,0",10,,9,0,,1987,,True
126,55,No,travel rarely,1117.0,,18,5,,"597,0",1,Female,83,3,4, manager ,2,Single,,9873,3,No,23,"4,0",4,0,"37,0",2,"3,0",10,,7,7,,1968,,1
127,35,No,,619.0,,1,3,,"600,0",2,Male,85,3,2, sales executive ,3,,,18659,9,,11,"3,0",3,0,"15,0",2,"3,0",11,,6,9,,1988,,1
128,42,No,travel rarely,319.0,,24,3,medical,,4,Male,56,3,3, manufacturing director ,1,Married,,6950,1,,21,"4,0",4,1,"10,0",5,"2,0",10,,5,8,,1981,,False
129,52,No,travel rarely,956.0,,6,2,,"630,0",4,Male,78,3,2, research scientist ,1,Divorced,"5577,0",22087,3,Yes,12,,2,2,"18,0",3,"3,0",10,,6,9,"5577,0",1971,,Yes
130,49,No,,1245.0,,18,4,life sciences,"638,0",4,Male,58,2,5, research director ,3,,,2125,1,Yes,17,"3,0",3,1,,5,"3,0",31,,0,9,,1974,,1
131,34,No,travel rarely,1397.0, research & development ,1,5,,"683,0",2,Male,42,3,1, research scientist ,4,Married,"2691,0",7660,1,No,12,"3,0",4,1,,4,"2,0",10,,8,8,"2691,0",1989, research scientist  -  research & development ,Yes
132,33,Yes,travel rarely,527.0,,1,4,other,"780,0",4,Male,63,3,1, research scientist ,4,Single,,5207,1,,13,"3,0",3,0,"10,0",2,"2,0",10,,7,8,,1990,,0
133,33,No,,213.0, research & development ,7,3,medical,"817,0",3,Male,49,3,3, research director ,3,Married,,25995,0,No,11,"3,0",4,0,,3,"4,0",13,,3,7,,1990, research director  -  research & development ,True
134,53,No,travel rarely,,,23,4,,"901,0",4,Female,72,3,4, research director ,4,,,20206,6,No,18,"3,0",3,0,"33,0",0,"3,0",12,,3,8,,1970,,1
135,49,No,travel rarely,527.0,,8,2,other,"944,0",1,Female,51,3,3, laboratory technician ,2,Married,"7403,0",22477,4,,11,"3,0",3,1,"29,0",3,"2,0",26,,1,7,"7403,0",1974,,0
136,35,No,,882.0,,21,4,,"984,0",21,Male,Not Available,3,3, sales executive ,4,,,6812,6,,13,"3,0",2,1,,2,"3,0",10,,0,8,,1988,,0
137,38,No,travel rarely,330.0,,17,1,life sciences,"1088,0",3,Female,65,2,3, healthcare representative ,3,Married,"8823,0",24608,0,,18,"3,0",1,1,"20,0",4,"2,0",19,,1,9,"8823,0",1985,,0
